model,fold,auc,ap,p_at_10,r_at_10,seconds,best_iteration,n_features,checkpoint
moe,0,0.984630380213688,0.9222280379294868,0.9061344537815126,0.7147212832239677,56.3,7,127,moe_fold0.pt
moe,1,0.9837272989462722,0.9202148841004377,0.9067226890756303,0.7151852588321072,48.5,6,127,moe_fold1.pt
moe,2,0.9841618808830761,0.9217962125566669,0.9093277310924369,0.7172400079538676,78.8,12,127,moe_fold2.pt
moe,3,0.9836612769645314,0.9196841573543333,0.9135294117647059,0.720554119440578,37.0,4,127,moe_fold3.pt
moe,4,0.9845979720030963,0.922494261343199,0.9115966386554621,0.7190296281566911,57.3,8,127,moe_fold4.pt
