model,fold,auc,ap,p_at_10,r_at_10,seconds,best_iteration,n_features,checkpoint
rf,0,0.9851475825961605,0.9247139706979713,0.9150420168067227,0.7217471995757937,171.0,,127,
rf,1,0.9841792135270049,0.9214408349780906,0.9123529411764706,0.719626168224299,137.7,,127,
rf,2,0.9846048331735382,0.9229271311715546,0.9134453781512605,0.7204878372108438,134.1,,127,
rf,3,0.9845743462054855,0.9228934503282958,0.9159663865546218,0.72247630410287,133.5,,127,
rf,4,0.985061724678212,0.9247258349936808,0.9140336134453781,0.7209518128189832,151.5,,127,
